model,intercept,slope,r_squared,adj_r_squared,p_value,residual_se,significant
House Price ~ Broadband,454584.3820154661,-3493.170407174287,0.6239520264097725,0.5821689182330806,0.003821655279578507,34612.525352262026,Yes
House Price ~ Drug Offence,402667.57407228433,-4740.495443272536,0.7707027752673281,0.7452253058525868,3.8016961955848364e-4,27027.82259583751,Yes
House Price ~ Attainment 8,250606.5180989377,1844.6734426535977,0.031442710640990426,-0.07617476595445516,0.6019508960827151,55548.75344200807,No
Drug Offence ~ Attainment 8,53.821678478249275,-0.9349757116684819,0.23552780820081848,0.15058645355646505,0.13023155235240927,9.139285294657961,No
Broadband ~ Drug Offence,20.811455597819254,0.998164172505775,0.6682389040170401,0.6313765600189334,0.00211832890304349,7.351572024721076,Yes
Broadband ~ Attainment 8,66.11603377941529,-0.721939075953682,0.09418254719709744,-0.00646383644766968,0.35864075343412105,12.147525796695037,No
